detail_path,university,lablink,content
https://phdkim.net/professor/8173/info/,"한양대학교(에리카)
            나노광전자학과",https://nmdl.hanyang.ac.kr,"<div class=""open-lab-content-area"">반도체디스플레이공학전공 조성용 교수 연구실에서 학부연구생 / 대학원생을 모집합니다.<br/><br/>대상: 반도체/디스플레이 소재 및 소자에 관심이 있는 학부생 및 졸업예정자<br/>연구분야:<br/>양자점 박막의 리소그래피를 통한 패터닝 및 디스플레이 픽셀 구현<br/>페로브스카이트 및 친환경 양자점 기반의 발광소자 전반<br/>원자층증착법을 적용한 고휘도 발광소자<br/><br/>지원사항: 등록금(석/박사), 해외 및 국내 학회 참석 및 발표 기회, 개인 연구공간 및 생활비, 각종 교육</div>"
https://phdkim.net/professor/9230/info/,"고려대학교
            인공지능학과",https://aai.korea.ac.kr/,"<div class=""open-lab-content-area"">고려대학교 자율인공지능 연구실 (Autonomous Artificial Intelligence Lab)<br/>https://aai.korea.ac.kr/<br/><br/>인간의 개입을 최소화하고 자율적으로 동작할수있는 인공지능기술을 연구합니다.</div>"
https://phdkim.net/professor/7822/info/,"경북대학교
            기계공학부",https://sachoi.wixsite.com/icfm,"<div class=""open-lab-content-area"">MLFM 연구실은 인공지능, 전산유체역학, 의료영상분석 등의 기술을 활용하여 산업계 및 의료계 관련 융합연구를 지향하는 연구실입니다. <br/><br/>구체적인 관심 연구분야는 아래와 같습니다.<br/>- 기관지 및 폐 호흡기 전산유체역학 및 입자 추적 해석 (고성능 병렬 CFD 계산)<br/>- 기계학습 기법(딥러닝)을 활용한 의료영상 (CT) 기반 질병 진단 및 예측 모형 개발<br/>- CFD 기술의 디지털 트윈 전환을 위한 차원 축소 모형 개발 (물리기반 인공지능)<br/>- RNN을 활용한 시계열 유동 예측과 강화학습을 활용한 파라미터 및 형상의 최적화</div>"
https://phdkim.net/professor/10304/info/,"GIST
            환경·에너지공학과",https://www.hydroai.net/,"<div class=""open-lab-content-area"">기후 변화와 인간의 활동으로 인해, 미래의 수자원과 자연재해 예측에 대한 불확실성이 증가하고 있습니다. 우리 수문 원격탐사 인공지능 연구실(HydroAI)은 기후변화--인간 활동에 의한 환경의 변화와 자연재해/수자원 예측 및 분석을 위해 인공위성 및 수치모델 자료와 딥러닝 방법론을 적극 활용합니다. 전 지구적 규모로 발생하는 수재해(가뭄, 홍수 등) 및 수자원을 위성 영상&amp;딥러닝 기술을 통해 더욱 정확하게 예측하는 것은 기후변화에 대응한 가장 중요한 연구 분야로 주목받고 있습니다.<br/><br/>• InnoCore Program 박사후 연구원 모집 (9,000만원+@+가족기숙사.)<br/>• 위성 원격 탐사, 수치모델, 기후변화, 환경/수자원 분야 Domain Scientist로 AI/기계학습 방법론 적용 연구에 대한 열정을 가지고 있는 학부생 및 대학원(석박통합) 진학 예정 학생을 환영합니다<br/><br/>◯ 세부연구분야 및 수행중인 연구<br/>홈페이지: https://www.hydroai.net<br/><br/>(1) 컴공/AI/SW 등 유사 전공 학생(LLM분야, AI특화)(Blackwell 6000x8 서버제공)<br/>• GPT-5와 같은 최신 대규모 언어 모델(LLM)을 기후변화/수문/위성 데이터 분석에 특화되도록 파인튜닝<br/>- LoRA 기반 경량 파인튜닝<br/>- RAG(Retrieval-Augmented Generation) 적용<br/>- 도메인 특화 데이터셋 구축/파운데이션 모델 파인튜닝 등<br/>• 요소모델(emulator/surrogate model) 개발<br/><br/>(2) 토목/환경 등 유사 전공 학생(수문학/원격탐사)<br/>• 미계측 지역 수자원 및 급성가뭄 분석 및 예측<br/>• 인간의 활동 및 기후변화가 전 지구 물순화에 미치는 영향 분석<br/>• 드론 및 지상에 설치된 Radiometer/Radar를 활용한 식생/토양수분 데이터 획득<br/><br/>(3) 통계/물리/대기 등 유사 전공 학생<br/>• 수치모델 정확도 향상을 위한 자료동화기법 적용 및 개발<br/>• 수자원위성/수치모델 데이터 정확도 향상 알고리듬 </div>"
https://phdkim.net/professor/7675/info/,"중앙대학교
            융합공학부",http://nml.creatorlink.net,"<div class=""open-lab-content-area"">최종훈 교수 실험실은 최종훈 교수가 2013년 3월 한양대학교 ERICA 생명나노공학과에 부임하면서 시작되었으며, 나노의학실험실 (Nanomedicine Laboratory)의 이름으로 출범 하였습니다.<br/><br/>2013년 부터 첫 3명의 박사과정 학생과 함께 연구를 시작하였으며 각각 약물전달용 나노입자, 고위험성 병원균 검출용 나노센서, 생체적합성 바이오폴리머 의 개발 주제로 연구를 진행하고 있습니다.<br/><br/>2016년 첫 번째로 박사학생이 졸업 하였으며 (현재 안전성평가 연구소 박사후연구원), 2017년에 두 번째 박사과정 학생이 (KIST 박사후연구원 후 현재 벤처회사 대표) 이 졸업하였습니다. 2018년 봄에 첫 석사과정 학생이 (현재 KAIST 박사과정생) 졸업 하였으며, 또한 2018년 세 번째 박사과정 학생이 (싱가폴 난양공대 포스닥 이후 현재 고려대 연구교수), 석사과정 학생이 (현재 KIST-중앙대 박사과정 연수생) 졸업하였습니다.<br/><br/>나노의학 실험실은 2016년 3월 서울 흑석동에 위치한 중앙대학교 융합공학부로 소속을 옮겼으며 현재 계속하여 약물 전달용 나노구조체, 바이오 센서용 나노물질, 항균/항바이오필름 복합 나노 구조체, 면역치료용 세포 나노공학기술 등의 연구를 진행하고 있습니다.<br/><br/>국내외 공동연구 기관과 활발한 협업을 하고 있으며 대표적으로 동경공업대학 Masayoshi Tanaka 교수, 미시건주립대학 Assaf Gilad 교수, 미국 식약처 Peter Goering 박사팀 등과 해외 공동연구를 수행하고 있습니다. 국내에서는 서울대 영상의학과, 연세대 구강생물학교실, 한양대 ERICA 분자생명과학과 및 생명나노공학과, 한양대 화학공학과, 서강대 화공생명공학과 등과 협업 프로젝트를 진행하고 있습니다.<br/><br/>박사과정 입학생은 연구재단 인건비 기준액 100% 지급 및 교내 장학금 혜택이 주어지며, 학위기간 동안 해외 대학에 파견 연구를 갈 수 있습니다. 현재 박사과정생 1인이 미국 University of Pennsylvania 에서 1년</div>"
https://phdkim.net/professor/10435/info/,"한국기계연구원
            자율제조연구소",https://sites.google.com/view/guddn418/home,"<div class=""open-lab-content-area"">[HKIMM] <br/><br/>김형우 박사/교수 그룹: 한국기계연구원 반도체장비연구센터 (선임연구원) &amp; 성균관대학교 기계공학과 (학연교수) &amp; UST 나노메카트로닉스과 (조교수) <br/>홈페이지:  https://sites.google.com/view/guddn418/home<br/><br/>1.연구분야: <br/>-차세대 2D 반도체 (2D Materials: TMDc)를 PECVD(Plasma enhanced Chemical vapor deposition)으로 합성 <br/>-2D 반도체를  RIE(Reactive ion etching)로 원자층 식각 <br/>-2D 반도체 기반 전자소자 응용 (RAM, Memristor 등)<br/>-플라즈마 공정 중 실시간 진단 (OES, QMS, ToF-MS, I-V probe, langmuir probe, cut-off probe 등)<br/>-플라즈마 공정 데이터 기반 머신러닝 예측<br/>-SCI논문, 과제, 특허 정보는 홈페이지 참조<br/><br/>2. 위치: 대전광역시 유성구 가정북로 156 한국기계연구원<br/><br/>3. 인건비 및 지원<br/>-한국기계연구원과 근로계약 및 4대보험 제공 (퇴직금)<br/>-인건비 Max 기준 (석사 210만원/월, 박사 260만원/월)<br/>-원내 기숙사 이용 가능 (대전 거주자는 불가능)<br/>-국내외 학회 다수 참여<br/><br/>4. 지원방법<br/>-CV(이력서)를 메일로 지원, 상담 후 면접 가능 (guddn418@kimm.re.kr)<br/>-석박사 통합과정만 선발 (학연과정으로 대학교는 상담 후 결정가능)<br/>-몇 주의 인턴 과정을 거친 후 최종 합격<br/>-지원전공: 재료/신소재/전자전기/나노 등 반도체관련 <br/></div>"
https://phdkim.net/professor/9745/info/,"한국에너지기술연구원
            광주 친환경에너지연구센터",https://www.kier.re.kr/board?menuId=MENU00787&siteId=null,"<div class=""open-lab-content-area"">한국에너지기술연구원 광주센터 이차전지 연구그룹에서<br/>석/박사/석박통합과정 대학원생(GIST / 전남대 등 연계 학위)/박사 후 연구원 모집합니다. <br/>(박사 및 석/박사 통합과정 지원 우대, 석사 지원 가능)<br/><br/>* 주요 연구 분야:<br/><br/>- 폐전지 고부가 가치화를 위한 차세대 재사용/재활용(양·음극 리사이클링 및 업사이클링)  및 전지 성능 복원<br/><br/>- 차세대 수계/유기계 이차전지 신소재(양극·음극·분리막 등)/공정(건식·습식)/통합 시스템 개발<br/><br/>- 이차전지 성능 향상을 위한 전기화학 시스템 설계<br/><br/>- 인공지능 및 머신러닝을 이용한 이차전지 상태 진단 및 예측 연구<br/>     1. 이차전지의 전기화학적 특성 및 전극의 결정구조에 대한 XRD 빅데이터 수집 실험<br/>     2. (빅데이터 활용) 인공지능/머신러닝 기반 이차전지 상태 진단 및 예측<br/><br/>* 언론 보도<br/>1-1) (조선일보) ‘화재 위험 없는 배터리’ 수계아연전지 수명 10배 늘렸다 https://www.chosun.com/economy/science/2024/08/28/MGQ4BWPYNZJXC52WMWG23EK73A/<br/>1-2) (동아일보) 불 안나는 배터리, 국내서 상용화 길 열었다<br/> https://www.donga.com/news/People/article/all/20240829/126736078/2<br/><br/>2-1) (조선일보) 수명 다한 배터리 양극재, 친환경 공정으로 재활용한다<br/>https://www.chosun.com/economy/science/2024/11/07/N77AN632Y4RH7SOKRMJUO62UP4/<br/>2-2) (뉴스1) '폐배터리 양극재 새제품처럼'…에너지연, 복원기술 개발</div>"
https://phdkim.net/professor/10616/info/,"부산대학교
            정보컴퓨터공학부",https://pnucvlab.github.io/,"<div class=""open-lab-content-area"">✨PNUCVLAB<br/><br/>안녕하세요. <br/>부산대학교 컴퓨터비전연구실(PNUCVLAB)입니다! <br/>저희는 시각 정보(Vision)와 언어(Language)를 잇는 연구를 통해 인간처럼 세상을 이해하고 소통하는 AI를 만듭니다. 👀💬<br/>기존의 단순한 이미지 인식을 넘어, 텍스트와 이미지가 상호작용하는 Vision-Language Model(VLM)을 연구합니다.<br/><br/>🔬 주요 연구 분야<br/>• Vision-Language Recognition: 자유로운 텍스트 입력을 통해 시각 정보를 추론하는 기술 (Open-Vocabulary Segmentation 등)<br/>• Generative AI &amp; Image Editing: 텍스트 프롬프트를 이용한 고품질 이미지/비디오 생성 및 정교한 편집 기술 (Diffusion Models, T2I)<br/>• 3D Vision &amp; Scene Understanding: 2D 이미지를 통해 3차원 공간을 복원하고, 공간 내의 의미적 맥락을 파악하는 기술 (3D Gaussian Splatting)<br/>• Multimodal LLM: 대형 언어 모델(LLM)에 시각적 눈을 달아주는 차세대 멀티모달 모델 연구<br/><br/>저희 연구실은 CVPR, ICCV, ECCV 등 세계 최고 수준의 AI 학회에 도전하며, 끊임없이 성장하는 연구 문화를 지향합니다💡</div>"
https://phdkim.net/professor/10652/info/,"Nanyang Technological University
            School of Civil and Environmental Engineering",https://sites.google.com/view/marislab/,"<div class=""open-lab-content-area"">난양공대 토목환경공학부 Maritime Studies Program의 MARIS (Maritime AI for Robust &amp; Innovative Solutions) Lab 입니다.<br/>https://sites.google.com/view/marislab<br/>(https://dr.ntu.edu.sg/entities/person/Kim-Youngrong)</div>"
https://phdkim.net/professor/10126/info/,"성균관대학교
            생명물리학과",https://www.byulleelab.com/,"<div class=""open-lab-content-area"">성균관대학교 생명물리학과 Bio Optical and Acoustic System Lab (BOAS Lab, 광학-초음파 시스템 연구실) 은  1) 새로운 광음향/광학/초음파 영상 시스템 개발 연구, 2) 초음파 기반 세포 정밀 조작 (Sonogenetics) 및 3) 인공지능 기반 의료영상 연구를 수행하여 향후 정밀의료에 기여하고자 합니다. 홈페이지: www.byulleelab.com<br/><br/>Opening:<br/>- 딥러닝 기반 바이오-의료 영상 분석을 위한 학생연구원 모집<br/>     1) 딥러닝을 이용한 바이오 데이터 Segmentation/classification<br/>     2) 딥러닝을 이용한 환자 조직 데이터 Segmentation/classification<br/>딥러닝 기반의 최신 바이오-의료 영상 연구를 수행합니다.<br/><br/>-모집 대상<br/> 1) 석박통합과정 또는 박사과정에 관심있는 학생 (입학전에는 연구원 고용)<br/>    - 전공: EE/ME/BME/Materials/ChemE/BioE/Phys/Chem/Bio/MDs<br/> <br/>-지원 내용<br/> 1) IQB fellowship 전형 입학생: 등록금 전액 및 생활비 지원<br/>    - 이외 학생들도 협의 후 등록금 전액 및 생활비 지원<br/>    MD-PhD: 등록금 전액 및 생활비 지원<br/> 2) 연구 물품 지원<br/> 3) 논문 인센티브<br/><br/>-전형일정: 상시모집<br/><br/>-지원방법<br/> 1페이지 자기소개서를 byullee@skku.edu 로 보내주시면 됩니다. <br/> 지원 전 문의사항도 편하게 이메일로 연락주세요.<br/></div>"
